----- Header information -------------------------------------------------------
Current name: TP6_SP_10_XRR_20120213_0_4_001_8s_corr022.txt
Original name: TP6_SP_10_XRR_20120213_0_4_001_8s_corr022
Comment: TP6_SP_10_XRR_20120213_0_4_001_8s.njc (korrigiert mit Strahl = 0.22 mm und Probe = 21.0 mm)
Original date: 16-Feb-2012, 11:10:11
Wavelength: 1.5418
Omega: ???
2Theta: ???
Scan type: ???
Scan axis: ???
First angle: 0.0
Scan range: 4.0
Step width: 0.01
Time per step: 8.0
Number of points: 401
--------------------------------------------------------------------------------

        Angle	    Intensity
       2.3300	      17.1250
       2.3400	      19.2500
       2.3500	      14.0000
       2.3600	      16.2500
       2.3700	      14.6250
       2.3800	      15.0000
       2.3900	      14.8750
       2.4000	      13.6250
       2.4100	      14.3750
       2.4200	      14.0000
       2.4300	      12.2500
       2.4400	      12.1250
       2.4500	      12.6250
       2.4600	      13.2500
       2.4700	      11.2500
       2.4800	      12.0000
       2.4900	      11.2500
       2.5000	      12.6250
       2.5100	      13.7500
       2.5200	      13.2500
       2.5300	      11.8750
       2.5400	      12.6250
       2.5500	      12.1250
       2.5600	      10.0000
       2.5700	       9.1250
       2.5800	      12.1250
       2.5900	       9.5000
       2.6000	      10.5000
       2.6100	       8.7500
       2.6200	      10.7500
       2.6300	       9.6250
       2.6400	       8.2500
       2.6500	      11.5000
       2.6600	      10.2500
       2.6700	       8.6250
       2.6800	       9.2500
       2.6900	       8.0000
       2.7000	       7.8750
       2.7100	      10.0000
       2.7200	       9.3750
       2.7300	       9.2500
       2.7400	       8.3750
       2.7500	       8.0000
       2.7600	       7.8750
       2.7700	      11.1250
       2.7800	       8.1250
       2.7900	       7.1250
       2.8000	       9.1250
       2.8100	       7.1250
       2.8200	       8.0000
       2.8300	       8.7500
       2.8400	       6.8750
       2.8500	       6.6250
       2.8600	       8.7500
       2.8700	       6.7500
       2.8800	       5.6250
       2.8900	       7.5000
       2.9000	       7.7500
       2.9100	       6.2500
       2.9200	       6.6250
       2.9300	       5.8750
       2.9400	       7.1250
       2.9500	       6.7500
       2.9600	       6.7500
       2.9700	       7.3750
       2.9800	       7.7500
       2.9900	       7.6250
       3.0000	       6.5000
       3.0100	       6.0000
       3.0200	       6.7500
       3.0300	       7.7500
       3.0400	       6.1250
       3.0500	       6.8750
       3.0600	       6.2500
       3.0700	       9.6250
       3.0800	       6.7500
       3.0900	       7.0000
