;   
;  IMD Data
;   
;  Saved on Fri Jul  9 11:33:44 2010
;   
;  Structure: 
;   
;  Si layer (1), z=100.0000 A, sigma=4.0000 A (err. fun.)
;  [Mo/B4C] multilayer, N=500, d=15.0000 A, Gamma=0.300
;      Mo layer (2), rho=10.200 g/cm3, z=4.5000 A, sigma(Si/Mo)=2.0000 A (err. fun.), sigma(B4C/Mo)=2.0000 A (err. fun.)
;      B4C layer (3), rho=2.520 g/cm3, z=10.5000 A, sigma=3.0000 A (err. fun.)
;  Si substrate, sigma=1.0000 A (err. fun.)
;   
;  delta(theta)=0.0010 deg, f=1.0000
;   
;  E=8000.000 eV
;   
;  Theta [deg] 	R
;-----------------
       2.8000000        0.0000000
       2.8007778        0.0000000
       2.8015556        0.0000000
       2.8023333    0.00025301128
       2.8031111    0.00026110877
       2.8038889    0.00021535915
       2.8046667    0.00014578528
       2.8054444    9.8509975e-05
       2.8062222    0.00010578631
       2.8070000    0.00016463314
       2.8077778    0.00023822822
       2.8085556    0.00027950826
       2.8093333    0.00026184778
       2.8101111    0.00019683099
       2.8108889    0.00012728257
       2.8116667    9.9716902e-05
       2.8124444    0.00013390604
       2.8132222    0.00020947156
       2.8140000    0.00027858419
       2.8147778    0.00029686674
       2.8155556    0.00025253487
       2.8163333    0.00017466469
       2.8171111    0.00011483138
       2.8178889    0.00011368429
       2.8186667    0.00017410047
       2.8194444    0.00025864738
       2.8202222    0.00031344074
       2.8210000    0.00030319024
       2.8217778    0.00023465228
       2.8225556    0.00015293913
       2.8233333    0.00011262619
       2.8241111    0.00014212884
       2.8248889    0.00022459033
       2.8256667    0.00030813012
       2.8264444    0.00033924770
       2.8272222    0.00029787397
       2.8280000    0.00021113458
       2.8287778    0.00013643494
       2.8295556    0.00012437470
       2.8303333    0.00018541933
       2.8311111    0.00028227905
       2.8318889    0.00035348747
       2.8326667    0.00035327313
       2.8334444    0.00028187217
       2.8342222    0.00018625211
       2.8350000    0.00013021156
       2.8357778    0.00015284525
       2.8365556    0.00024239421
       2.8373333    0.00034296934
       2.8381111    0.00039037351
       2.8388889    0.00035406037
       2.8396667    0.00025783889
       2.8404444    0.00016535018
       2.8412222    0.00013911723
       2.8420000    0.00019947060
       2.8427778    0.00031032622
       2.8435556    0.00040172569
       2.8443333    0.00041507108
       2.8451111    0.00034181579
       2.8458889    0.00023012229
       2.8466667    0.00015446089
       2.8474444    0.00016727574
       2.8482222    0.00026405203
       2.8490000    0.00038505034
       2.8497778    0.00045336276
       2.8505556    0.00042504621
       2.8513333    0.00031869059
       2.8521111    0.00020460614
       2.8528889    0.00015981671
       2.8536667    0.00021759763
       2.8544444    0.00034460019
       2.8552222    0.00046125882
       2.8560000    0.00049302963
       2.8567778    0.00041947204
       2.8575556    0.00028893059
       2.8583333    0.00018840691
       2.8591111    0.00018730540
       2.8598889    0.00029136314
       2.8606667    0.00043733970
       2.8614444    0.00053295449
       2.8622222    0.00051685453
       2.8630000    0.00039968520
       2.8637778    0.00025888122
       2.8645556    0.00018944845
       2.8653333    0.00024191214
       2.8661111    0.00038792004
       2.8668889    0.00053689275
       2.8676667    0.00059404426
       2.8684444    0.00052261409
       2.8692222    0.00036954798
       2.8700000    0.00023685038
       2.8707778    0.00021594906
       2.8715556    0.00032719770
       2.8723333    0.00050453205
       2.8731111    0.00063664679
       2.8738889    0.00063905012
       2.8746667    0.00051039778
       2.8754444    0.00033570434
       2.8762222    0.00023284857
       2.8770000    0.00027586550
       2.8777778    0.00044486013
       2.8785556    0.00063640450
       2.8793333    0.00072930322
       2.8801111    0.00066391686
       2.8808889    0.00048325196
       2.8816667    0.00030773872
       2.8824444    0.00025824336
       2.8832222    0.00037634544
       2.8840000    0.00059442302
       2.8847778    0.00077690566
       2.8855556    0.00080760296
       2.8863333    0.00066690838
       2.8871111    0.00044781247
       2.8878889    0.00029827322
       2.8886667    0.00032538395
       2.8894444    0.00052324476
       2.8902222    0.00077308782
       2.8910000    0.00091799729
       2.8917778    0.00086523442
       2.8925556    0.00064961277
       2.8933333    0.00041497388
       2.8941111    0.00032307544
       2.8948889    0.00044727289
       2.8956667    0.00072076925
       2.8964444    0.00097578210
       2.8972222     0.0010508932
       2.8980000    0.00089795840
       2.8987778    0.00061812990
       2.8995556    0.00040070801
       2.9003333    0.00040130332
       2.9011111    0.00063739147
       2.9018889    0.00097130518
       2.9026667     0.0011954370
       2.9034444     0.0011669888
       2.9042222    0.00090505053
       2.9050000    0.00058461755
       2.9057778    0.00042725574
       2.9065556    0.00055610195
       2.9073333    0.00090983079
       2.9081111     0.0012755161
       2.9088889     0.0014235425
       2.9096667     0.0012591698
       2.9104444    0.00089130086
       2.9112222    0.00056956975
       2.9120000    0.00052512336
       2.9127778    0.00081592694
       2.9135556     0.0012799652
       2.9143333     0.0016328161
       2.9151111     0.0016510849
       2.9158889     0.0013237671
       2.9166667    0.00087011103
       2.9174444    0.00060560833
       2.9182222    0.00073673005
       2.9190000     0.0012172856
       2.9197778     0.0017660756
       2.9205556     0.0020424128
       2.9213333     0.0018701185
       2.9221111     0.0013638036
       2.9228889    0.00086891254
       2.9236667    0.00074446920
       2.9244444     0.0011234550
       2.9252222     0.0018102658
       2.9260000     0.0023926997
       2.9267778     0.0025053295
       2.9275556     0.0020766295
       2.9283333     0.0013951469
       2.9291111    0.00093980434
       2.9298889     0.0010710217
       2.9306667     0.0017799565
       2.9314444     0.0026697957
       2.9322222     0.0031973523
       2.9330000     0.0030283807
       2.9337778     0.0022765224
       2.9345556     0.0014598662
       2.9353333     0.0011828140
       2.9361111     0.0017338399
       2.9368889     0.0028651225
       2.9376667     0.0039195663
       2.9384444     0.0042444471
       2.9392222     0.0036327640
       2.9400000     0.0025003118
       2.9407778     0.0016594321
       2.9415556     0.0018027940
       2.9423333     0.0030186049
       2.9431111     0.0046748290
       2.9438889     0.0057867453
       2.9446667     0.0056564328
       2.9454444     0.0043757251
       2.9462222     0.0028460895
       2.9470000     0.0022505073
       2.9477778     0.0032685771
       2.9485556     0.0055477144
       2.9493333     0.0078340572
       2.9501111     0.0087414475
       2.9508889     0.0076924405
       2.9516667     0.0054186834
       2.9524444     0.0036344519
       2.9532222     0.0039791054
       2.9540000     0.0068460444
       2.9547778      0.010924999
       2.9555556      0.013893661
       2.9563333      0.013910739
       2.9571111      0.010989376
       2.9578889     0.0073254450
       2.9586667     0.0061580167
       2.9594444     0.0096174997
       2.9602222      0.016926377
       2.9610000      0.024416657
       2.9617778      0.027671874
       2.9625556      0.024610593
       2.9633333      0.017665344
       2.9641111      0.013374288
       2.9648889      0.018631183
       2.9656667      0.035214190
       2.9664444      0.056769424
       2.9672222      0.071549250
